Identifier,Female,Age,Gradespassed15,ReadUrdu16,Financialconditionoverlastyear22,Collectivehouseholdincome112,Ownahouse122,Ownaland123,ClientofnonIslamicinstitution32,RecitingQuran33,Attendingreligiousgatherings34,Consultingreligiouscholar310,ListTreatment,Listexperiment
ID0003,1,35,3,2,3,3,1,0,1,1,2,0,1,"3"
ID0005,0,44,5,1,4,4,1,1,0,3,2,0,1,"3"
ID0007,0,32,2,2,3,4,1,1,0,4,4,0,1,"3"
ID0009,0,29,5,1,3,4,1,1,1,2,1,0,1,"3"
ID0012,1,33,1,1,4,4,1,0,0,0,4,0,1,"3"
ID0014,1,38,3,0,4,3,1,0,1,0,1,0,1,"3"
ID0015,1,37,1,0,4,3,1,0,0,4,4,2,1,"2"
ID0016,1,52,0,0,3,4,1,1,0,2,4,1,1,"3"
ID0017,1,27,2,1,3,3,1,1,0,3,1,1,1,"2"
ID0018,1,50,5,1,3,3,1,1,1,4,1,1,1,"2"
ID0019,1,46,5,2,2,3,1,1,0,1,4,3,1,"2"
ID0020,1,45,3,1,3,4,1,1,1,2,3,0,1,"2"
ID0021,1,45,5,1,4,4,0,1,0,2,2,3,1,"3"
ID0022,1,47,8,2,3,4,1,1,1,3,1,2,1,"2"
ID0023,1,42,5,1,4,4,1,0,0,2,1,0,1,"2"
ID0024,1,28,5,2,3,3,1,0,0,3,3,1,1,"3"
ID0025,1,50,8,2,3,3,1,1,1,4,3,1,1,"2"
ID0026,1,36,2,1,2,4,1,1,0,3,2,1,1,"2"
ID0027,1,38,3,1,3,4,1,0,1,2,2,1,1,"2"
ID0030,1,51,8,2,4,4,1,1,0,4,4,2,1,"3"
ID0031,1,48,0,1,4,4,1,0,0,3,3,1,1,"2"
ID0034,1,48,0,1,3,4,1,1,0,2,2,2,1,"2"
ID0035,1,38,4,1,3,3,1,1,0,2,2,1,1,"2"
ID0036,1,37,1,1,2,3,1,0,1,1,1,2,1,"2"
ID0037,1,37,2,2,3,4,1,1,0,3,1,1,1,"2"
ID0045,0,38,1,1,4,4,1,0,1,4,4,2,0,"2"
ID0046,0,45,8,1,4,3,1,0,0,1,3,1,0,"2"
ID0047,1,49,2,1,3,4,1,1,1,0,2,2,0,"2"
ID0048,1,35,0,0,3,3,1,0,1,0,2,0,0,"2"
ID0049,1,57,3,2,3,3,1,0,0,0,1,0,0,"2"
ID0052,1,47,0,0,3,4,1,1,0,3,3,2,0,"2"
ID0054,1,35,2,0,4,3,1,1,0,2,2,1,0,"2"
ID0056,1,37,8,2,3,4,1,1,0,2,1,1,0,"2"
ID0057,1,27,1,1,3,4,1,1,1,4,2,0,0,"2"
ID0058,1,46,10,2,4,99,1,0,0,2,2,1,0,"2"
ID0060,1,32,8,2,3,4,1,0,1,4,3,1,0,"2"
ID0061,1,35,0,0,4,4,1,1,0,2,2,0,0,"2"
ID0062,1,38,5,1,3,4,1,1,0,3,2,2,0,"2"
ID0063,1,47,6,2,2,3,1,1,1,2,2,0,0,"2"
ID0064,1,39,12,2,3,4,1,0,0,4,4,1,0,"2"
ID0065,1,43,5,0,4,3,1,1,0,2,4,3,0,"2"
ID0066,1,28,4,2,2,3,1,0,1,2,3,2,0,"2"
ID0067,1,37,10,2,4,3,1,1,1,2,3,0,0,"2"
ID0068,1,48,1,0,2,4,1,0,0,4,2,1,0,"2"
ID0071,1,41,4,1,4,4,0,1,1,3,3,2,0,"2"
ID0072,1,48,2,2,3,3,1,1,1,2,4,3,0,"2"
ID0074,1,27,3,0,4,4,1,1,0,2,2,1,0,"2"
ID0075,1,45,1,0,3,4,1,1,0,1,2,1,0,"2"
ID0076,1,53,0,1,3,3,1,1,1,1,1,1,0,"2"
ID0077,1,55,2,0,3,2,1,1,1,1,2,0,0,"2"
ID0078,1,40,2,1,4,3,1,1,1,2,1,2,0,"2"
ID0079,1,48,3,1,3,3,1,1,0,3,1,2,0,"2"
ID0081,1,25,5,1,3,4,1,1,0,1,1,0,0,"2"
ID0082,1,35,5,1,3,4,1,1,0,2,2,1,0,"2"
